344,Filadélfia,TO,1707702
345,Muricilândia,TO,1713957
346,Nova Olinda,TO,1714880
347,Palmeirante,TO,1715705
348,Pau D'Arco,TO,1716307
349,Piraquê,TO,1717206
350,Santa Fé do Araguaia,TO,1718865
351,Wanderlândia,TO,1722081
352,Xambioá,TO,1722107
353,Abreulândia,TO,1700251
354,Araguacema,TO,1701903
355,Barrolândia,TO,1703107
356,Bernardo Sayão,TO,1703206
357,Brasilândia do Tocantins,TO,1703602
358,Caseara,TO,1703909
359,Couto de Magalhães,TO,1706001
360,Divinópolis do Tocantins,TO,1707108
361,Dois Irmãos do Tocantins,TO,1707207
362,Fortaleza do Tabocão,TO,1708254
363,Goianorte,TO,1708304
364,Guaraí,TO,1709302
365,Itaporã do Tocantins,TO,1711100
366,Juarina,TO,1711803
367,Marianópolis do Tocantins,TO,1712504
368,Miracema do Tocantins,TO,1713205
369,Miranorte,TO,1713304
370,Monte Santo do Tocantins,TO,1713700
371,Pequizeiro,TO,1716653
372,Colméia,TO,1716703
373,Presidente Kennedy,TO,1718402
374,Rio dos Bois,TO,1718709
375,Tupirama,TO,1721257
376,Tupiratins,TO,1721307
377,Araguaçu,TO,1702000
378,Chapada de Areia,TO,1704600
379,Cristalândia,TO,1706100
380,Dueré,TO,1707306
381,Fátima,TO,1707553
382,Formoso do Araguaia,TO,1708205
383,Lagoa da Confusão,TO,1711902
384,Nova Rosalândia,TO,1715002
385,Oliveira de Fátima,TO,1715507
386,Paraíso do Tocantins,TO,1716109
387,Pium,TO,1717503
388,Pugmil,TO,1718451
389,Sandolândia,TO,1718840
390,Aliança do Tocantins,TO,1700350
391,Alvorada,TO,1700707
392,Brejinho de Nazaré,TO,1703701
393,Cariri do Tocantins,TO,1703867
394,Crixás do Tocantins,TO,1706258
395,Figueirópolis,TO,1707652
396,Gurupi,TO,1709500
397,Jaú do Tocantins,TO,1711506
398,Palmeirópolis,TO,1715754
399,Peixe,TO,1716604
400,Santa Rita do Tocantins,TO,1718899
401,São Salvador do Tocantins,TO,1720259
402,Sucupira,TO,1720853
403,Talismã,TO,1720978
404,Aparecida do Rio Negro,TO,1701101
405,Bom Jesus do Tocantins,TO,1703305
406,Ipueiras,TO,1709807
407,Lajeado,TO,1712009
408,Monte do Carmo,TO,1713601
409,Pedro Afonso,TO,1716505
410,Porto Nacional,TO,1718204
411,Santa Maria do Tocantins,TO,1718881
412,Silvanópolis,TO,1720655
413,Palmas,TO,1721000
414,Tocantínia,TO,1721109
415,Barra do Ouro,TO,1703073
416,Campos Lindos,TO,1703842
417,Centenário,TO,1704105
418,Goiatins,TO,1709005
419,Itacajá,TO,1710508
420,Itapiratins,TO,1710904
421,Lagoa do Tocantins,TO,1711951
422,Lizarda,TO,1712405
423,Mateiros,TO,1712702
424,Novo Acordo,TO,1715101
425,Ponte Alta do Tocantins,TO,1717909
426,Recursolândia,TO,1718501
427,Rio Sono,TO,1718758
428,Santa Tereza do Tocantins,TO,1719004
429,São Félix do Tocantins,TO,1720150
430,Almas,TO,1700400
